"data for Bass_river(dry)" 
1.0  ! stepsize (days) 
ST1: 13149 time steps 
ST2 
ST3 
*  ! list directed format ok here 
Rain (mm),ET(mm),Runoff (mm/day),Date
0.06875,4.580645161,0.117, 1/01/1955
8.60375,4.580645161,0.117, 2/01/1955
10.4125,4.580645161,0.117, 3/01/1955
4.04625,4.580645161,0.117, 4/01/1955
0.52875,4.580645161,0.109, 5/01/1955
0.18125,4.580645161,0.109, 6/01/1955
0.10875,4.580645161,0.104, 7/01/1955
0.1375,4.580645161,0.104, 8/01/1955
0.0825,4.580645161,0.104, 9/01/1955
0,4.580645161,0.104,10/01/1955
1.03125,4.580645161,0.099,11/01/1955
0.61875,4.580645161,0.099,12/01/1955
0,4.580645161,0.099,13/01/1955
0,4.580645161,0.099,14/01/1955
0,4.580645161,0.093,15/01/1955
0,4.580645161,0.093,16/01/1955
0,4.580645161,0.093,17/01/1955
0,4.580645161,0.088,18/01/1955
0.5125,4.580645161,0.088,19/01/1955
0.3075,4.580645161,0.088,20/01/1955
0,4.580645161,0.088,21/01/1955
0,4.580645161,0.088,22/01/1955
0,4.580645161,0.088,23/01/1955
0,4.580645161,0.088,24/01/1955
0,4.580645161,0.088,25/01/1955
0.0125,4.580645161,0.083,26/01/1955
0.03875,4.580645161,0.083,27/01/1955
8.6125,4.580645161,0.083,28/01/1955
12.9875,4.580645161,0.083,29/01/1955
4.69875,4.580645161,0.083,30/01/1955
0.28125,4.580645161,0.093,31/01/1955
0.30625,3.607142857,0.088, 1/02/1955
0.22,3.607142857,0.088, 2/02/1955
0.0825,3.607142857,0.088, 3/02/1955
0,3.607142857,0.088, 4/02/1955
0.1125,3.607142857,0.088, 5/02/1955
16.705,3.607142857,0.088, 6/02/1955
9.9825,3.607142857,0.099, 7/02/1955
1.8625,3.607142857,0.099, 8/02/1955
1.7925,3.607142857,0.099, 9/02/1955
8.98625,3.607142857,0.099,10/02/1955
18.48,3.607142857,0.109,11/02/1955
12.6425,3.607142857,0.203,12/02/1955
3.77375,3.607142857,0.171,13/02/1955
12.46125,3.607142857,0.239,14/02/1955
19.15875,3.607142857,0.285,15/02/1955
8.5975,3.607142857,0.366,16/02/1955
0.825,3.607142857,0.394,17/02/1955
0.15625,3.607142857,0.394,18/02/1955
0.09375,3.607142857,0.337,19/02/1955
0,3.607142857,0.221,20/02/1955
0,3.607142857,0.135,21/02/1955
0,3.607142857,0.124,22/02/1955
0.04375,3.607142857,0.117,23/02/1955
0.02625,3.607142857,0.117,24/02/1955
0.04375,3.607142857,0.109,25/02/1955
0.25125,3.607142857,0.109,26/02/1955
0.17875,3.607142857,0.109,27/02/1955
0.13875,3.607142857,0.109,28/02/1955
0.0675,2.903225806,0.104, 1/03/1955
2.03125,2.903225806,0.099, 2/03/1955
3.1375,2.903225806,0.099, 3/03/1955
5.0825,2.903225806,0.099, 4/03/1955
7.14,2.903225806,0.104, 5/03/1955
3.325,2.903225806,0.109, 6/03/1955
0.38,2.903225806,0.124, 7/03/1955
0.1075,2.903225806,0.124, 8/03/1955
0.1325,2.903225806,0.117, 9/03/1955
0.06375,2.903225806,0.109,10/03/1955
0,2.903225806,0.104,11/03/1955
0,2.903225806,0.099,12/03/1955
0.05,2.903225806,0.099,13/03/1955
0.205,2.903225806,0.099,14/03/1955
0.2425,2.903225806,0.099,15/03/1955
0.96375,2.903225806,0.093,16/03/1955
0.61,2.903225806,0.093,17/03/1955
0.04875,2.903225806,0.093,18/03/1955
0,2.903225806,0.093,19/03/1955
0,2.903225806,0.093,20/03/1955
0,2.903225806,0.088,21/03/1955
0,2.903225806,0.088,22/03/1955
17.375,2.903225806,0.088,23/03/1955
12.90625,2.903225806,0.109,24/03/1955
9.095,2.903225806,0.117,25/03/1955
4.56375,2.903225806,0.171,26/03/1955
0,2.903225806,0.145,27/03/1955
6.0875,2.903225806,0.135,28/03/1955
3.7025,2.903225806,0.124,29/03/1955
0.03,2.903225806,0.124,30/03/1955
0,2.903225806,0.117,31/03/1955
0,2,0.109, 1/04/1955
0.2125,2,0.104, 2/04/1955
0.1275,2,0.088, 3/04/1955
0,2,0.088, 4/04/1955
0,2,0.088, 5/04/1955
0.18125,2,0.088, 6/04/1955
0.10875,2,0.088, 7/04/1955
0,2,0.088, 8/04/1955
0,2,0.088, 9/04/1955
0.04375,2,0.088,10/04/1955
0.02625,2,0.088,11/04/1955
0,2,0.088,12/04/1955
0,2,0.088,13/04/1955
1.3625,2,0.088,14/04/1955
0.8175,2,0.088,15/04/1955
1.64375,2,0.083,16/04/1955
0.98625,2,0.083,17/04/1955
0.25,2,0.083,18/04/1955
0.15,2,0.083,19/04/1955
0,2,0.088,20/04/1955
0,2,0.088,21/04/1955
0,2,0.088,22/04/1955
0.2375,2,0.088,23/04/1955
4.43,2,0.088,24/04/1955
6.9725,2,0.088,25/04/1955
2.98375,2,0.088,26/04/1955
0.4125,2,0.088,27/04/1955
0.33625,2,0.088,28/04/1955
0.1275,2,0.088,29/04/1955
4.6375,2,0.088,30/04/1955
2.82,1.258064516,0.088, 1/05/1955
5.06625,1.258064516,0.088, 2/05/1955
6.2325,1.258064516,0.093, 3/05/1955
9.38625,1.258064516,0.124, 4/05/1955
6.65875,1.258064516,0.124, 5/05/1955
1.40875,1.258064516,0.109, 6/05/1955
0.0725,1.258064516,0.109, 7/05/1955
0.0075,1.258064516,0.104, 8/05/1955
0,1.258064516,0.099, 9/05/1955
0,1.258064516,0.099,10/05/1955
0,1.258064516,0.093,11/05/1955
0.6125,1.258064516,0.093,12/05/1955
3.6925,1.258064516,0.093,13/05/1955
2.0575,1.258064516,0.088,14/05/1955
0.04375,1.258064516,0.088,15/05/1955
0.00375,1.258064516,0.093,16/05/1955
0.69375,1.258064516,0.093,17/05/1955
1.585,1.258064516,0.093,18/05/1955
0.71375,1.258064516,0.109,19/05/1955
0.30125,1.258064516,0.109,20/05/1955
2.37,1.258064516,0.109,21/05/1955
1.31625,1.258064516,0.109,22/05/1955
0,1.258064516,0.109,23/05/1955
0,1.258064516,0.109,24/05/1955
0,1.258064516,0.109,25/05/1955
0,1.258064516,0.109,26/05/1955
0,1.258064516,0.109,27/05/1955
0,1.258064516,0.109,28/05/1955
0.23125,1.258064516,0.117,29/05/1955
0.13875,1.258064516,0.109,30/05/1955
0,1.258064516,0.099,31/05/1955
0,1.066666667,0.099, 1/06/1955
0.375,1.066666667,0.099, 2/06/1955
1.3125,1.066666667,0.099, 3/06/1955
3.05875,1.066666667,0.099, 4/06/1955
4.96875,1.066666667,0.104, 5/06/1955
2.2525,1.066666667,0.109, 6/06/1955
0.2075,1.066666667,0.109, 7/06/1955
1.01875,1.066666667,0.124, 8/06/1955
0.56625,1.066666667,0.104, 9/06/1955
0,1.066666667,0.104,10/06/1955
0,1.066666667,0.104,11/06/1955
3.58125,1.066666667,0.104,12/06/1955
2.14875,1.066666667,0.109,13/06/1955
0,1.066666667,0.099,14/06/1955
0.4875,1.066666667,0.099,15/06/1955
2.1675,1.066666667,0.099,16/06/1955
7.69375,1.066666667,0.099,17/06/1955
12.86,1.066666667,0.099,18/06/1955
5.35125,1.066666667,0.124,19/06/1955
0,1.066666667,0.187,20/06/1955
1.18125,1.066666667,0.171,21/06/1955
2.45875,1.066666667,0.171,22/06/1955
2.81875,1.066666667,0.145,23/06/1955
1.0675,1.066666667,0.145,24/06/1955
0.00375,1.066666667,0.145,25/06/1955
0,1.066666667,0.145,26/06/1955
0.125,1.066666667,0.145,27/06/1955
0.48125,1.066666667,0.145,28/06/1955
5.85625,1.066666667,0.145,29/06/1955
5.33625,1.066666667,0.158,30/06/1955
1.18125,1.096774194,0.158, 1/07/1955
0,1.096774194,0.145, 2/07/1955
0.1875,1.096774194,0.145, 3/07/1955
0.1125,1.096774194,0.135, 4/07/1955
0,1.096774194,0.135, 5/07/1955
0.0125,1.096774194,0.135, 6/07/1955
0.68875,1.096774194,0.135, 7/07/1955
0.40875,1.096774194,0.135, 8/07/1955
0.0125,1.096774194,0.135, 9/07/1955
0.07,1.096774194,0.135,10/07/1955
0.0375,1.096774194,0.135,11/07/1955
7.5625,1.096774194,0.124,12/07/1955
9.55625,1.096774194,0.124,13/07/1955
3.305,1.096774194,0.124,14/07/1955
0.2075,1.096774194,0.124,15/07/1955
0.025,1.096774194,0.171,16/07/1955
0.00375,1.096774194,0.171,17/07/1955
0,1.096774194,0.171,18/07/1955
0,1.096774194,0.158,19/07/1955
0,1.096774194,0.145,20/07/1955
0,1.096774194,0.135,21/07/1955
0,1.096774194,0.135,22/07/1955
0,1.096774194,0.135,23/07/1955
0.00625,1.096774194,0.124,24/07/1955
0.085,1.096774194,0.124,25/07/1955
0.5175,1.096774194,0.124,26/07/1955
4.99375,1.096774194,0.124,27/07/1955
6.9525,1.096774194,0.135,28/07/1955
5.54375,1.096774194,0.203,29/07/1955
3.95375,1.096774194,0.203,30/07/1955
3.84875,1.096774194,0.203,31/07/1955
1.54875,1.516129032,0.203, 1/08/1955
0,1.516129032,0.203, 2/08/1955
0.11875,1.516129032,0.187, 3/08/1955
0.07125,1.516129032,0.145, 4/08/1955
0,1.516129032,0.145, 5/08/1955
2.5875,1.516129032,0.145, 6/08/1955
9.0775,1.516129032,0.145, 7/08/1955
18.35875,1.516129032,0.158, 8/08/1955
16.26875,1.516129032,0.285, 9/08/1955
6.13375,1.516129032,0.366,10/08/1955
1.76375,1.516129032,0.394,11/08/1955
0.9825,1.516129032,0.312,12/08/1955
1.9975,1.516129032,0.285,13/08/1955
1.2625,1.516129032,0.285,14/08/1955
1.34,1.516129032,0.262,15/08/1955
0.7275,1.516129032,0.394,16/08/1955
0.09375,1.516129032,0.394,17/08/1955
0.05625,1.516129032,0.394,18/08/1955
2.125,1.516129032,0.394,19/08/1955
2.15625,1.516129032,0.366,20/08/1955
3.17875,1.516129032,0.366,21/08/1955
3.065,1.516129032,0.366,22/08/1955
3.25375,1.516129032,0.285,23/08/1955
7.765,1.516129032,0.285,24/08/1955
3.85,1.516129032,0.285,25/08/1955
0.02625,1.516129032,0.262,26/08/1955
0,1.516129032,0.312,27/08/1955
0.2375,1.516129032,0.285,28/08/1955
0.1425,1.516129032,0.285,29/08/1955
0.85625,1.516129032,0.239,30/08/1955
0.51375,1.516129032,0.221,31/08/1955
0,2.133333333,0.221, 1/09/1955
1.90625,2.133333333,0.187, 2/09/1955
1.83125,2.133333333,0.171, 3/09/1955
0.5125,2.133333333,0.187, 4/09/1955
3.985,2.133333333,0.171, 5/09/1955
2.355,2.133333333,0.158, 6/09/1955
0.2125,2.133333333,0.158, 7/09/1955
0.1275,2.133333333,0.158, 8/09/1955
0.03125,2.133333333,0.158, 9/09/1955
0.01875,2.133333333,0.158,10/09/1955
0,2.133333333,0.158,11/09/1955
0,2.133333333,0.171,12/09/1955
0,2.133333333,0.171,13/09/1955
0,2.133333333,0.171,14/09/1955
0.7,2.133333333,0.171,15/09/1955
0.5325,2.133333333,0.171,16/09/1955
0.0675,2.133333333,0.171,17/09/1955
1.3375,2.133333333,0.171,18/09/1955
0.8025,2.133333333,0.171,19/09/1955
0,2.133333333,0.145,20/09/1955
1.75625,2.133333333,0.145,21/09/1955
22.16,2.133333333,0.145,22/09/1955
18.18875,2.133333333,0.337,23/09/1955
4.10875,2.133333333,0.963,24/09/1955
0.47625,2.133333333,0.529,25/09/1955
0,2.133333333,0.457,26/09/1955
0.03125,2.133333333,0.425,27/09/1955
0.01875,2.133333333,0.394,28/09/1955
2.96875,2.133333333,0.262,29/09/1955
4.0125,2.133333333,0.262,30/09/1955
5.37625,3.419354839,0.221, 1/10/1955
2.59125,3.419354839,0.203, 2/10/1955
0.12625,3.419354839,0.171, 3/10/1955
0.015,3.419354839,0.145, 4/10/1955
0,3.419354839,0.135, 5/10/1955
1.075,3.419354839,0.158, 6/10/1955
1.62,3.419354839,0.171, 7/10/1955
6.22875,3.419354839,0.171, 8/10/1955
7.36125,3.419354839,0.171, 9/10/1955
9.1725,3.419354839,0.285,10/10/1955
5.06625,3.419354839,0.394,11/10/1955
0.92125,3.419354839,0.394,12/10/1955
0.2075,3.419354839,0.366,13/10/1955
2.045,3.419354839,0.337,14/10/1955
1.67875,3.419354839,0.285,15/10/1955
1.1425,3.419354839,0.239,16/10/1955
1.64,3.419354839,0.221,17/10/1955
1.72125,3.419354839,0.221,18/10/1955
7.93625,3.419354839,0.239,19/10/1955
18.74,3.419354839,0.394,20/10/1955
11.70125,3.419354839,0.659,21/10/1955
5.0275,3.419354839,0.659,22/10/1955
9.72375,3.419354839,0.659,23/10/1955
5.1225,3.419354839,0.612,24/10/1955
0.615,3.419354839,1.935,25/10/1955
0.21375,3.419354839,1.18,26/10/1955
0.075,3.419354839,1.015,27/10/1955
8.86375,3.419354839,0.529,28/10/1955
27.84125,3.419354839,0.394,29/10/1955
20.42375,3.419354839,0.529,30/10/1955
4.32375,3.419354839,1.697,31/10/1955
2.2875,4.266666667,1.349, 1/11/1955
1.4175,4.266666667,0.804, 2/11/1955
0.0675,4.266666667,0.705, 3/11/1955
0,4.266666667,0.529, 4/11/1955
0.25625,4.266666667,0.425, 5/11/1955
3.16625,4.266666667,0.366, 6/11/1955
2.1825,4.266666667,0.337, 7/11/1955
4.39375,4.266666667,0.312, 8/11/1955
3.82625,4.266666667,0.262, 9/11/1955
7.16375,4.266666667,0.239,10/11/1955
4.1275,4.266666667,0.239,11/11/1955
0.18375,4.266666667,0.312,12/11/1955
0,4.266666667,0.262,13/11/1955
0.64375,4.266666667,0.262,14/11/1955
0.38625,4.266666667,0.239,15/11/1955
0.25,4.266666667,0.171,16/11/1955
0.2875,4.266666667,0.135,17/11/1955
0.31375,4.266666667,0.135,18/11/1955
1.7575,4.266666667,0.145,19/11/1955
0.97125,4.266666667,0.145,20/11/1955
0,4.266666667,0.145,21/11/1955
0,4.266666667,0.135,22/11/1955
0.79375,4.266666667,0.135,23/11/1955
16.4325,4.266666667,0.135,24/11/1955
9.59875,4.266666667,0.158,25/11/1955
0.015,4.266666667,0.158,26/11/1955
1.2,4.266666667,0.158,27/11/1955
0.72,4.266666667,0.145,28/11/1955
0,4.266666667,0.145,29/11/1955
0,4.266666667,0.145,30/11/1955
0.15625,4.064516129,0.135, 1/12/1955
1.5625,4.064516129,0.135, 2/12/1955
8.55625,4.064516129,0.135, 3/12/1955
5.53,4.064516129,0.135, 4/12/1955
0.555,4.064516129,0.239, 5/12/1955
0,4.064516129,0.285, 6/12/1955
0,4.064516129,0.221, 7/12/1955
0,4.064516129,0.145, 8/12/1955
0,4.064516129,0.145, 9/12/1955
0.10625,4.064516129,0.135,10/12/1955
1.4825,4.064516129,0.124,11/12/1955
12.33875,4.064516129,0.124,12/12/1955
6.8925,4.064516129,0.145,13/12/1955
0,4.064516129,0.171,14/12/1955
0,4.064516129,0.171,15/12/1955
0,4.064516129,0.158,16/12/1955
0,4.064516129,0.158,17/12/1955
0,4.064516129,0.145,18/12/1955
2.99375,4.064516129,0.124,19/12/1955
9.015,4.064516129,0.124,20/12/1955
15.7375,4.064516129,0.171,21/12/1955
10.70625,4.064516129,0.171,22/12/1955
14.005,4.064516129,0.158,23/12/1955
16.625,4.064516129,0.493,24/12/1955
9.03625,4.064516129,0.457,25/12/1955
4.74875,4.064516129,0.457,26/12/1955
2.95375,4.064516129,0.529,27/12/1955
2.66875,4.064516129,0.612,28/12/1955
1.5275,4.064516129,0.705,29/12/1955
1.17,4.064516129,0.705,30/12/1955
0.60625,4.064516129,0.394,31/12/1955
0.295,4.580645161,0.394, 1/01/1956
1.01125,4.580645161,0.394, 2/01/1956
1.36,4.580645161,0.394, 3/01/1956
0.935,4.580645161,0.394, 4/01/1956
1.0675,4.580645161,0.337, 5/01/1956
0.4875,4.580645161,0.262, 6/01/1956
0.53125,4.580645161,0.239, 7/01/1956
2.06875,4.580645161,0.221, 8/01/1956
6.5125,4.580645161,0.203, 9/01/1956
7.12125,4.580645161,0.187,10/01/1956
4.95625,4.580645161,1.235,11/01/1956
1.75875,4.580645161,0.804,12/01/1956
0.1075,4.580645161,0.425,13/01/1956
0.07875,4.580645161,0.285,14/01/1956
0.495,4.580645161,0.239,15/01/1956
1.16375,4.580645161,0.221,16/01/1956
3.505,4.580645161,0.203,17/01/1956
8.3,4.580645161,0.171,18/01/1956
48.3925,4.580645161,0.908,19/01/1956
31.60125,4.580645161,1.58,20/01/1956
3.1725,4.580645161,2.556,21/01/1956
0.55375,4.580645161,1.523,22/01/1956
0.26375,4.580645161,0.804,23/01/1956
1.7075,4.580645161,0.529,24/01/1956
11.47625,4.580645161,0.493,25/01/1956
6.27375,4.580645161,0.804,26/01/1956
0,4.580645161,0.755,27/01/1956
0,4.580645161,0.755,28/01/1956
0,4.580645161,0.529,29/01/1956
0,4.580645161,0.457,30/01/1956
0,4.580645161,0.394,31/01/1956
0,3.482758621,0.337, 1/02/1956
0.225,3.482758621,0.312, 2/02/1956
0.16625,3.482758621,0.285, 3/02/1956
0.18125,3.482758621,0.239, 4/02/1956
0.0975,3.482758621,0.221, 5/02/1956
0,3.482758621,0.203, 6/02/1956
0,3.482758621,0.187, 7/02/1956
0.3,3.482758621,0.171, 8/02/1956
0.23625,3.482758621,0.171, 9/02/1956
0.065,3.482758621,0.171,10/02/1956
0.25625,3.482758621,0.171,11/02/1956
0.1425,3.482758621,0.158,12/02/1956
0.15625,3.482758621,0.158,13/02/1956
0.18125,3.482758621,0.158,14/02/1956
0.33375,3.482758621,0.158,15/02/1956
0.74375,3.482758621,0.158,16/02/1956
4.38875,3.482758621,0.124,17/02/1956
2.5825,3.482758621,0.124,18/02/1956
0.575,3.482758621,0.135,19/02/1956
3.645,3.482758621,0.135,20/02/1956
2.795,3.482758621,0.124,21/02/1956
0.46875,3.482758621,0.135,22/02/1956
7.275,3.482758621,0.135,23/02/1956
9.10875,3.482758621,0.135,24/02/1956
2.84625,3.482758621,0.135,25/02/1956
0,3.482758621,0.135,26/02/1956
0,3.482758621,0.203,27/02/1956
0,3.482758621,0.187,28/02/1956
0,3.482758621,0.171,29/02/1956
4.75,2.903225806,0.158, 1/03/1956
11.96875,2.903225806,0.158, 2/03/1956
5.47125,2.903225806,0.187, 3/03/1956
1.19375,2.903225806,0.203, 4/03/1956
8.6725,2.903225806,0.221, 5/03/1956
7.83625,2.903225806,0.203, 6/03/1956
2.11875,2.903225806,0.221, 7/03/1956
0.2625,2.903225806,0.158, 8/03/1956
0.05625,2.903225806,0.135, 9/03/1956
0.29375,2.903225806,0.124,10/03/1956
6.395,2.903225806,0.124,11/03/1956
15.425,2.903225806,0.145,12/03/1956
25.7475,2.903225806,0.158,13/03/1956
31.83875,2.903225806,0.171,14/03/1956
12.45375,2.903225806,2.304,15/03/1956
4,2.903225806,2.179,16/03/1956
2.96,2.903225806,0.394,17/03/1956
0.95,2.903225806,0.337,18/03/1956
0.35625,2.903225806,0.285,19/03/1956
0.04375,2.903225806,0.285,20/03/1956
1.38875,2.903225806,0.285,21/03/1956
3.8925,2.903225806,0.312,22/03/1956
2.8075,2.903225806,0.366,23/03/1956
0.5775,2.903225806,0.366,24/03/1956
0,2.903225806,0.262,25/03/1956
0.35625,2.903225806,0.221,26/03/1956
0.21375,2.903225806,0.171,27/03/1956
0,2.903225806,0.158,28/03/1956
0.0875,2.903225806,0.145,29/03/1956
2.315,2.903225806,0.145,30/03/1956
13.645,2.903225806,0.158,31/03/1956
10.00375,2,0.158, 1/04/1956
1.57875,2,0.171, 2/04/1956
1.1,2,0.221, 3/04/1956
0.66,2,0.203, 4/04/1956
1.7,2,0.187, 5/04/1956
1.38875,2,0.171, 6/04/1956
0.42125,2,0.171, 7/04/1956
0.70125,2,0.171, 8/04/1956
0.855,2,0.158, 9/04/1956
2.535,2,0.145,10/04/1956
1.6575,2,0.145,11/04/1956
0.19125,2,0.145,12/04/1956
1.40625,2,0.145,13/04/1956
15.15625,2,0.135,14/04/1956
10.99375,2,0.135,15/04/1956
4.85625,2,0.135,16/04/1956
3.39125,2,0.135,17/04/1956
1.2625,2,0.124,18/04/1956
9.04875,2,0.203,19/04/1956
5.70875,2,0.285,20/04/1956
0.80375,2,0.312,21/04/1956
0.4975,2,0.529,22/04/1956
0.105,2,0.312,23/04/1956
0.4125,2,0.285,24/04/1956
19.51625,2,0.262,25/04/1956
11.56125,2,0.262,26/04/1956
0,2,0.221,27/04/1956
0,2,0.203,28/04/1956
0,2,0.203,29/04/1956
0.15,2,0.203,30/04/1956
3.54,1.258064516,0.203, 1/05/1956
9.71375,1.258064516,0.221, 2/05/1956
4.66125,1.258064516,0.612, 3/05/1956
0.70125,1.258064516,1.123, 4/05/1956
0.63125,1.258064516,0.659, 5/05/1956
2.505,1.258064516,0.659, 6/05/1956
2.5425,1.258064516,0.705, 7/05/1956
0.9875,1.258064516,0.705, 8/05/1956
0.1875,1.258064516,1.235, 9/05/1956
0.13125,1.258064516,1.18,10/05/1956
14.86,1.258064516,0.908,11/05/1956
33.05,1.258064516,1.015,12/05/1956
14.815,1.258064516,1.463,13/05/1956
0.265,1.258064516,3.677,14/05/1956
4.84875,1.258064516,1.876,15/05/1956
9.055,1.258064516,1.697,16/05/1956
6.2675,1.258064516,1.349,17/05/1956
1.5375,1.258064516,2.242,18/05/1956
1.38125,1.258064516,1.463,19/05/1956
0.82875,1.258064516,1.406,20/05/1956
0.6875,1.258064516,1.235,21/05/1956
4.10625,1.258064516,1.123,22/05/1956
5.01,1.258064516,0.908,23/05/1956
8.73875,1.258064516,1.043,24/05/1956
5.375,1.258064516,1.015,25/05/1956
0.7075,1.258064516,1.876,26/05/1956
1.47125,1.258064516,1.756,27/05/1956
2.77375,1.258064516,1.639,28/05/1956
1.4025,1.258064516,1.463,29/05/1956
1.26375,1.258064516,1.292,30/05/1956
9.77625,1.258064516,1.123,31/05/1956
8.37375,1.066666667,1.697, 1/06/1956
2.375,1.066666667,2.299, 2/06/1956
0.39125,1.066666667,1.935, 3/06/1956
2.145,1.066666667,1.463, 4/06/1956
1.85125,1.066666667,1.463, 5/06/1956
0.34125,1.066666667,1.58, 6/06/1956
0.05,1.066666667,1.349, 7/06/1956
2.51125,1.066666667,1.349, 8/06/1956
9.2075,1.066666667,1.349, 9/06/1956
8.21875,1.066666667,3.982,10/06/1956
4.69,1.066666667,2.82,11/06/1956
1.5975,1.066666667,2.82,12/06/1956
0.53875,1.066666667,2.304,13/06/1956
1.79625,1.066666667,1.998,14/06/1956
1.6875,1.066666667,1.935,15/06/1956
3.15375,1.066666667,1.817,16/06/1956
4.115,1.066666667,1.935,17/06/1956
1.65375,1.066666667,1.697,18/06/1956
0.09,1.066666667,1.463,19/06/1956
0,1.066666667,1.349,20/06/1956
0,1.066666667,1.349,21/06/1956
0,1.066666667,1.015,22/06/1956
0.1375,1.066666667,0.804,23/06/1956
2.97625,1.066666667,0.804,24/06/1956
1.9925,1.066666667,0.804,25/06/1956
1.4225,1.066666667,1.349,26/06/1956
5.57375,1.066666667,1.123,27/06/1956
3.15,1.066666667,1.58,28/06/1956
0.77625,1.066666667,1.463,29/06/1956
3.84,1.066666667,1.523,30/06/1956
2.29375,1.096774194,1.235, 1/07/1956
0.63375,1.096774194,1.123, 2/07/1956
0.30375,1.096774194,1.015, 3/07/1956
1.69375,1.096774194,1.015, 4/07/1956
5.46,1.096774194,0.908, 5/07/1956
5.1225,1.096774194,0.963, 6/07/1956
2.4175,1.096774194,1.015, 7/07/1956
2.61,1.096774194,1.069, 8/07/1956
2.045,1.096774194,1.123, 9/07/1956
2.06625,1.096774194,0.804,10/07/1956
9.445,1.096774194,1.015,11/07/1956
9.9375,1.096774194,2.556,12/07/1956
3.0275,1.096774194,1.935,13/07/1956
0.0875,1.096774194,1.935,14/07/1956
0.15125,1.096774194,1.935,15/07/1956
1.6425,1.096774194,1.935,16/07/1956
1.3525,1.096774194,1.349,17/07/1956
1.87625,1.096774194,1.123,18/07/1956
0.975,1.096774194,1.123,19/07/1956
0,1.096774194,0.908,20/07/1956
0.025,1.096774194,0.804,21/07/1956
0.615,1.096774194,0.755,22/07/1956
0.49125,1.096774194,0.705,23/07/1956
0.1225,1.096774194,0.705,24/07/1956
3.08875,1.096774194,0.705,25/07/1956
1.9625,1.096774194,0.529,26/07/1956
0.075,1.096774194,0.705,27/07/1956
0.21875,1.096774194,0.705,28/07/1956
0.85625,1.096774194,0.529,29/07/1956
0.435,1.096774194,0.394,30/07/1956
1.1,1.096774194,0.394,31/07/1956
0.92875,1.516129032,0.394, 1/08/1956
0.16125,1.516129032,0.394, 2/08/1956
0,1.516129032,0.394, 3/08/1956
0,1.516129032,0.394, 4/08/1956
0,1.516129032,0.394, 5/08/1956
0.98125,1.516129032,0.394, 6/08/1956
7.545,1.516129032,0.394, 7/08/1956
4.38625,1.516129032,0.457, 8/08/1956
3.97125,1.516129032,0.394, 9/08/1956
4.475,1.516129032,0.457,10/08/1956
2.86375,1.516129032,0.457,11/08/1956
1.65625,1.516129032,0.457,12/08/1956
0.7125,1.516129032,0.366,13/08/1956
13.04375,1.516129032,0.366,14/08/1956
9.2625,1.516129032,1.58,15/08/1956
1.01625,1.516129032,1.123,16/08/1956
0.05625,1.516129032,1.015,17/08/1956
2.64375,1.516129032,0.908,18/08/1956
3.84875,1.516129032,0.908,19/08/1956
1.36375,1.516129032,0.908,20/08/1956
0.02875,1.516129032,0.705,21/08/1956
6.715,1.516129032,0.612,22/08/1956
7.56375,1.516129032,0.804,23/08/1956
2.8575,1.516129032,0.908,24/08/1956
0.43875,1.516129032,0.908,25/08/1956
0,1.516129032,0.804,26/08/1956
0,1.516129032,0.705,27/08/1956
1.31875,1.516129032,0.705,28/08/1956
0.79125,1.516129032,0.612,29/08/1956
0,1.516129032,0.612,30/08/1956
0,1.516129032,0.457,31/08/1956
8.88125,2.133333333,0.457, 1/09/1956
10.1975,2.133333333,0.529, 2/09/1956
2.92125,2.133333333,1.463, 3/09/1956
0,2.133333333,1.463, 4/09/1956
0,2.133333333,1.123, 5/09/1956
0.81875,2.133333333,0.963, 6/09/1956
3.22875,2.133333333,0.908, 7/09/1956
1.98,2.133333333,1.123, 8/09/1956
0.20875,2.133333333,1.015, 9/09/1956
6.51625,2.133333333,0.908,10/09/1956
5.47,2.133333333,1.58,11/09/1956
0.9375,2.133333333,1.697,12/09/1956
0,2.133333333,1.349,13/09/1956
0,2.133333333,1.123,14/09/1956
0,2.133333333,1.123,15/09/1956
0,2.133333333,0.908,16/09/1956
0,2.133333333,0.705,17/09/1956
0.38125,2.133333333,0.612,18/09/1956
1.10375,2.133333333,0.612,19/09/1956
5.51875,2.133333333,0.457,20/09/1956
5.9275,2.133333333,1.123,21/09/1956
2.765,2.133333333,0.908,22/09/1956
1.61,2.133333333,0.963,23/09/1956
0.60375,2.133333333,1.015,24/09/1956
0,2.133333333,0.908,25/09/1956
0,2.133333333,0.804,26/09/1956
0.98125,2.133333333,0.804,27/09/1956
1.26375,2.133333333,0.804,28/09/1956
5.28625,2.133333333,0.908,29/09/1956
7.11625,2.133333333,0.908,30/09/1956
11.04375,3.419354839,1.463, 1/10/1956
5.16875,3.419354839,1.349, 2/10/1956
1.82375,3.419354839,1.123, 3/10/1956
6.56375,3.419354839,1.18, 4/10/1956
3.64875,3.419354839,1.463, 5/10/1956
3.42625,3.419354839,1.463, 6/10/1956
2.72125,3.419354839,1.58, 7/10/1956
0.47625,3.419354839,1.349, 8/10/1956
0,3.419354839,1.123, 9/10/1956
8.73125,3.419354839,0.908,10/10/1956
5.245,3.419354839,1.123,11/10/1956
0.00375,3.419354839,0.908,12/10/1956
1.00625,3.419354839,0.804,13/10/1956
2.3975,3.419354839,0.705,14/10/1956
5.195,3.419354839,0.612,15/10/1956
3.965,3.419354839,0.394,16/10/1956
6.23375,3.419354839,0.394,17/10/1956
