"data for Bass_river(wet)" 
1.0  ! stepsize (days) 
ST1: 8035 time steps 
ST2 
ST3 
*  ! list directed format ok here 
Rain (mm),ET(mm),Runoff (mm/day),Date
23.955,5.2,2.209, 5/11/1981
4.62,5.2,1.662, 6/11/1981
0.60625,5.2,1.092, 7/11/1981
0.09375,5.2,0.824, 8/11/1981
0,5.2,0.642, 9/11/1981
2.24375,5.2,0.5,10/11/1981
1.34625,5.2,0.422,11/11/1981
0,5.2,0.359,12/11/1981
0,5.2,0.313,13/11/1981
0,5.2,0.282,14/11/1981
0.1125,5.2,0.254,15/11/1981
1.955,5.2,0.241,16/11/1981
2.76375,5.2,0.241,17/11/1981
0.97875,5.2,0.239,18/11/1981
0.76875,5.2,0.232,19/11/1981
9.055,5.2,0.237,20/11/1981
7.86875,5.2,0.3,21/11/1981
5.09625,5.2,0.333,22/11/1981
2.08125,5.2,0.299,23/11/1981
1.63125,5.2,0.266,24/11/1981
3.5475,5.2,0.259,25/11/1981
2.61625,5.2,0.252,26/11/1981
0.645,5.2,0.306,27/11/1981
0,5.2,0.256,28/11/1981
6.975,5.2,0.237,29/11/1981
15.4975,5.2,0.255,30/11/1981
7.43125,5.838709677,0.62, 1/12/1981
1.48625,5.838709677,0.414, 2/12/1981
1.7975,5.838709677,0.306, 3/12/1981
0.6825,5.838709677,0.266, 4/12/1981
0,5.838709677,0.247, 5/12/1981
0,5.838709677,0.21, 6/12/1981
0.18125,5.838709677,0.175, 7/12/1981
0.10875,5.838709677,0.155, 8/12/1981
0,5.838709677,0.148, 9/12/1981
0.025,5.838709677,0.147,10/12/1981
0.015,5.838709677,0.147,11/12/1981
0,5.838709677,0.134,12/12/1981
0,5.838709677,0.125,13/12/1981
17.49375,5.838709677,0.121,14/12/1981
20.1525,5.838709677,0.233,15/12/1981
32.83125,5.838709677,0.745,16/12/1981
25.60375,5.838709677,1.484,17/12/1981
5.82875,5.838709677,1.783,18/12/1981
0.12,5.838709677,1.051,19/12/1981
6.75625,5.838709677,0.68,20/12/1981
5.0975,5.838709677,0.718,21/12/1981
0.795,5.838709677,0.672,22/12/1981
2.445,5.838709677,0.559,23/12/1981
6.34375,5.838709677,0.47,24/12/1981
17.45625,5.838709677,1.206,25/12/1981
14.80875,5.838709677,3.184,26/12/1981
8.71125,5.838709677,2.059,27/12/1981
3.0325,5.838709677,1.411,28/12/1981
11.02875,5.838709677,1.408,29/12/1981
13.88375,5.838709677,2.699,30/12/1981
4.36125,5.838709677,1.478,31/12/1981
0,5.548387097,1.065, 1/01/1982
0,5.548387097,0.875, 2/01/1982
0,5.548387097,0.72, 3/01/1982
0,5.548387097,0.57, 4/01/1982
0,5.548387097,0.49, 5/01/1982
0,5.548387097,0.453, 6/01/1982
0,5.548387097,0.415, 7/01/1982
5.93125,5.548387097,0.376, 8/01/1982
3.99625,5.548387097,0.43, 9/01/1982
0.2625,5.548387097,0.404,10/01/1982
3.775,5.548387097,0.364,11/01/1982
2.34625,5.548387097,0.357,12/01/1982
0.04875,5.548387097,0.379,13/01/1982
9.00625,5.548387097,0.344,14/01/1982
28.16625,5.548387097,0.433,15/01/1982
27.2575,5.548387097,0.971,16/01/1982
16.085,5.548387097,2.209,17/01/1982
22.455,5.548387097,2.503,18/01/1982
46.31375,5.548387097,17.541,19/01/1982
37.0225,5.548387097,19.296,20/01/1982
16.67625,5.548387097,17.652,21/01/1982
25.89375,5.548387097,13.603,22/01/1982
13.91,5.548387097,6.72,23/01/1982
0.60375,5.548387097,4.459,24/01/1982
0,5.548387097,3.421,25/01/1982
39.90625,5.548387097,3.38,26/01/1982
25.03125,5.548387097,10.247,27/01/1982
5.2025,5.548387097,5.041,28/01/1982
2.76125,5.548387097,4.172,29/01/1982
0.01875,5.548387097,3.854,30/01/1982
0.65,5.548387097,3.124,31/01/1982
19.2275,5.25,2.716, 1/02/1982
14.2025,5.25,3.546, 2/02/1982
1.74,5.25,3.125, 3/02/1982
9.075,5.25,2.567, 4/02/1982
6.10125,5.25,2.992, 5/02/1982
2.5375,5.25,2.404, 6/02/1982
5.7675,5.25,2.199, 7/02/1982
2.68875,5.25,1.995, 8/02/1982
0,5.25,1.801, 9/02/1982
0,5.25,1.653,10/02/1982
5.25,5.25,1.535,11/02/1982
10.53125,5.25,1.396,12/02/1982
8.02875,5.25,1.686,13/02/1982
11.785,5.25,1.562,14/02/1982
12.15625,5.25,2.069,15/02/1982
3.82875,5.25,1.9,16/02/1982
0,5.25,1.523,17/02/1982
0.325,5.25,1.376,18/02/1982
9.72,5.25,1.246,19/02/1982
7.19625,5.25,1.486,20/02/1982
17.47,5.25,1.594,21/02/1982
9.94875,5.25,2.318,22/02/1982
3.675,5.25,1.765,23/02/1982
6.805,5.25,1.544,24/02/1982
7.17875,5.25,2.023,25/02/1982
5.51375,5.25,1.779,26/02/1982
5.84875,5.25,1.627,27/02/1982
10.62875,5.25,1.794,28/02/1982
7.84,4.580645161,2.052, 1/03/1982
18.345,4.580645161,1.98, 2/03/1982
19.6075,4.580645161,8.071, 3/03/1982
34.11,4.580645161,17.055, 4/03/1982
17.75625,4.580645161,13.321, 5/03/1982
0.46125,4.580645161,7.376, 6/03/1982
0.425,4.580645161,5.204, 7/03/1982
4.67375,4.580645161,4.967, 8/03/1982
12.6575,4.580645161,3.941, 9/03/1982
12.7225,4.580645161,3.848,10/03/1982
18.20625,4.580645161,3.516,11/03/1982
48.13625,4.580645161,4.669,12/03/1982
75.3975,4.580645161,25.999,13/03/1982
52.3275,4.580645161,40.464,14/03/1982
16.1575,4.580645161,26.752,15/03/1982
5.70625,4.580645161,13.645,16/03/1982
2.22,4.580645161,9.435,17/03/1982
0,4.580645161,6.972,18/03/1982
5.61875,4.580645161,5.645,19/03/1982
9.84,4.580645161,5.826,20/03/1982
9.95,4.580645161,5.037,21/03/1982
3.66625,4.580645161,4.531,22/03/1982
0.015,4.580645161,3.913,23/03/1982
0.375,4.580645161,3.454,24/03/1982
0.225,4.580645161,3.192,25/03/1982
1.24375,4.580645161,2.905,26/03/1982
0.74625,4.580645161,2.659,27/03/1982
0,4.580645161,2.412,28/03/1982
0,4.580645161,2.205,29/03/1982
0.3375,4.580645161,2.062,30/03/1982
7.23375,4.580645161,1.976,31/03/1982
6.06875,3.433333333,2.007, 1/04/1982
1.11,3.433333333,1.907, 2/04/1982
0,3.433333333,1.693, 3/04/1982
0,3.433333333,1.612, 4/04/1982
1.25625,3.433333333,1.532, 5/04/1982
2.45375,3.433333333,1.485, 6/04/1982
2.61375,3.433333333,1.41, 7/04/1982
9.93125,3.433333333,1.355, 8/04/1982
7.07875,3.433333333,1.523, 9/04/1982
7.40375,3.433333333,1.431,10/04/1982
19.62,3.433333333,1.583,11/04/1982
38.935,3.433333333,2.903,12/04/1982
20.465,3.433333333,8.36,13/04/1982
3.16,3.433333333,4.258,14/04/1982
0.8925,3.433333333,3.035,15/04/1982
0,3.433333333,2.394,16/04/1982
0,3.433333333,2.089,17/04/1982
1.9375,3.433333333,1.966,18/04/1982
2.89375,3.433333333,1.87,19/04/1982
1.37625,3.433333333,1.662,20/04/1982
0.5775,3.433333333,1.558,21/04/1982
0.24375,3.433333333,1.468,22/04/1982
0.01125,3.433333333,1.409,23/04/1982
0,3.433333333,1.294,24/04/1982
0,3.433333333,1.249,25/04/1982
1.65625,3.433333333,1.178,26/04/1982
8.26875,3.433333333,1.19,27/04/1982
4.38375,3.433333333,1.347,28/04/1982
0.01125,3.433333333,1.03,29/04/1982
0,3.433333333,0.942,30/04/1982
0,2.290322581,0.916, 1/05/1982
0,2.290322581,0.847, 2/05/1982
0,2.290322581,0.836, 3/05/1982
0,2.290322581,0.805, 4/05/1982
0,2.290322581,0.775, 5/05/1982
0,2.290322581,0.744, 6/05/1982
0,2.290322581,0.71, 7/05/1982
0.225,2.290322581,0.676, 8/05/1982
0.135,2.290322581,0.657, 9/05/1982
0,2.290322581,0.646,10/05/1982
0,2.290322581,0.617,11/05/1982
0,2.290322581,0.591,12/05/1982
0,2.290322581,0.576,13/05/1982
2.6125,2.290322581,0.581,14/05/1982
9.69875,2.290322581,0.904,15/05/1982
9.67875,2.290322581,0.742,16/05/1982
10.11125,2.290322581,0.799,17/05/1982
5.2325,2.290322581,0.787,18/05/1982
0.53625,2.290322581,0.704,19/05/1982
0,2.290322581,0.646,20/05/1982
0,2.290322581,0.597,21/05/1982
0,2.290322581,0.535,22/05/1982
0,2.290322581,0.514,23/05/1982
0.325,2.290322581,0.49,24/05/1982
1.77625,2.290322581,0.493,25/05/1982
1.18,2.290322581,0.515,26/05/1982
1.045,2.290322581,0.504,27/05/1982
18.23125,2.290322581,0.55,28/05/1982
15.4125,2.290322581,1.188,29/05/1982
15.13,2.290322581,2.376,30/05/1982
7.35,2.290322581,1.827,31/05/1982
0,1.8,1.008, 1/06/1982
0,1.8,0.787, 2/06/1982
0.2875,1.8,0.68, 3/06/1982
7.90375,1.8,0.628, 4/06/1982
7.41375,1.8,0.773, 5/06/1982
6.28375,1.8,0.827, 6/06/1982
3.39,1.8,0.829, 7/06/1982
3.67125,1.8,0.857, 8/06/1982
9.33625,1.8,1.292, 9/06/1982
5.90125,1.8,1.619,10/06/1982
0.8925,1.8,1.313,11/06/1982
1.79375,1.8,1.081,12/06/1982
1.08875,1.8,1.048,13/06/1982
0.0075,1.8,0.918,14/06/1982
0,1.8,0.815,15/06/1982
0,1.8,0.757,16/06/1982
0,1.8,0.701,17/06/1982
0,1.8,0.675,18/06/1982
0,1.8,0.641,19/06/1982
0,1.8,0.62,20/06/1982
0,1.8,0.625,21/06/1982
0,1.8,0.565,22/06/1982
0,1.8,0.53,23/06/1982
0,1.8,0.527,24/06/1982
0,1.8,0.531,25/06/1982
0,1.8,0.528,26/06/1982
0,1.8,0.493,27/06/1982
0,1.8,0.471,28/06/1982
0,1.8,0.433,29/06/1982
0,1.8,0.418,30/06/1982
0,1.774193548,0.399, 1/07/1982
0,1.774193548,0.438, 2/07/1982
0,1.774193548,0.436, 3/07/1982
0,1.774193548,0.385, 4/07/1982
0,1.774193548,0.346, 5/07/1982
0,1.774193548,0.33, 6/07/1982
0,1.774193548,0.323, 7/07/1982
0,1.774193548,0.329, 8/07/1982
0,1.774193548,0.314, 9/07/1982
0,1.774193548,0.299,10/07/1982
0,1.774193548,0.29,11/07/1982
0,1.774193548,0.295,12/07/1982
0.0125,1.774193548,0.291,13/07/1982
43.93875,1.774193548,0.464,14/07/1982
45.1025,1.774193548,2.927,15/07/1982
17.2025,1.774193548,3.385,16/07/1982
3.57375,1.774193548,2.637,17/07/1982
5.2375,1.774193548,1.533,18/07/1982
3.1425,1.774193548,1.104,19/07/1982
0,1.774193548,0.825,20/07/1982
0,1.774193548,0.712,21/07/1982
0,1.774193548,0.674,22/07/1982
1.60625,1.774193548,0.642,23/07/1982
1.7075,1.774193548,0.643,24/07/1982
0.44625,1.774193548,0.631,25/07/1982
0,1.774193548,0.585,26/07/1982
0,1.774193548,0.54,27/07/1982
0,1.774193548,0.525,28/07/1982
0,1.774193548,0.51,29/07/1982
0,1.774193548,0.485,30/07/1982
0,1.774193548,0.465,31/07/1982
0,2.225806452,0.432, 1/08/1982
0,2.225806452,0.411, 2/08/1982
0,2.225806452,0.389, 3/08/1982
0.1125,2.225806452,0.386, 4/08/1982
0.64875,2.225806452,0.386, 5/08/1982
0.5925,2.225806452,0.384, 6/08/1982
9.6525,2.225806452,0.386, 7/08/1982
19.99125,2.225806452,0.614, 8/08/1982
8.57875,2.225806452,0.929, 9/08/1982
0.5975,2.225806452,0.68,10/08/1982
0.35625,2.225806452,0.563,11/08/1982
0,2.225806452,0.52,12/08/1982
0,2.225806452,0.492,13/08/1982
0,2.225806452,0.456,14/08/1982
4.15,2.225806452,0.432,15/08/1982
7.99625,2.225806452,0.451,16/08/1982
9.6225,2.225806452,0.543,17/08/1982
11.55375,2.225806452,0.623,18/08/1982
8.16375,2.225806452,0.625,19/08/1982
3.2725,2.225806452,0.642,20/08/1982
1.05125,2.225806452,0.591,21/08/1982
1.41,2.225806452,0.526,22/08/1982
7.57,2.225806452,0.527,23/08/1982
4.11,2.225806452,0.67,24/08/1982
0,2.225806452,0.635,25/08/1982
0,2.225806452,0.541,26/08/1982
0,2.225806452,0.488,27/08/1982
0,2.225806452,0.44,28/08/1982
0,2.225806452,0.419,29/08/1982
0,2.225806452,0.41,30/08/1982
0,2.225806452,0.388,31/08/1982
0,3.233333333,0.366, 1/09/1982
0,3.233333333,0.354, 2/09/1982
0,3.233333333,0.339, 3/09/1982
0,3.233333333,0.328, 4/09/1982
1.09375,3.233333333,0.308, 5/09/1982
1.89375,3.233333333,0.299, 6/09/1982
0.7425,3.233333333,0.298, 7/09/1982
9.01875,3.233333333,0.299, 8/09/1982
5.41125,3.233333333,0.418, 9/09/1982
0,3.233333333,0.466,10/09/1982
0,3.233333333,0.336,11/09/1982
0,3.233333333,0.307,12/09/1982
0.7125,3.233333333,0.285,13/09/1982
5.30875,3.233333333,0.279,14/09/1982
2.92875,3.233333333,0.31,15/09/1982
0,3.233333333,0.323,16/09/1982
0,3.233333333,0.286,17/09/1982
0.35,3.233333333,0.281,18/09/1982
2.3475,3.233333333,0.272,19/09/1982
7.82,3.233333333,0.295,20/09/1982
31.135,3.233333333,0.582,21/09/1982
62.59,3.233333333,19.585,22/09/1982
28.095,3.233333333,5.67,23/09/1982
0.2025,3.233333333,2.435,24/09/1982
0,3.233333333,1.666,25/09/1982
0.325,3.233333333,1.314,26/09/1982
0.195,3.233333333,1.101,27/09/1982
0,3.233333333,0.998,28/09/1982
0,3.233333333,0.821,29/09/1982
0,3.233333333,0.723,30/09/1982
0,4.516129032,0.652, 1/10/1982
0,4.516129032,0.598, 2/10/1982
0,4.516129032,0.57, 3/10/1982
0,4.516129032,0.546, 4/10/1982
0,4.516129032,0.53, 5/10/1982
0,4.516129032,0.493, 6/10/1982
0,4.516129032,0.477, 7/10/1982
0,4.516129032,0.461, 8/10/1982
15.01875,4.516129032,0.478, 9/10/1982
78.36125,4.516129032,3.749,10/10/1982
50.75375,4.516129032,23.323,11/10/1982
46.0425,4.516129032,24.703,12/10/1982
32.8025,4.516129032,19.948,13/10/1982
5.64375,4.516129032,9.851,14/10/1982
1.43125,4.516129032,5.969,15/10/1982
0.65625,4.516129032,5.073,16/10/1982
5.75,4.516129032,3.746,17/10/1982
3.45,4.516129032,3.063,18/10/1982
0,4.516129032,2.712,19/10/1982
0,4.516129032,2.474,20/10/1982
0,4.516129032,2.242,21/10/1982
0,4.516129032,1.938,22/10/1982
0,4.516129032,1.786,23/10/1982
0.00625,4.516129032,1.774,24/10/1982
0.00375,4.516129032,1.661,25/10/1982
0,4.516129032,1.587,26/10/1982
0,4.516129032,1.47,27/10/1982
0,4.516129032,1.366,28/10/1982
0,4.516129032,1.229,29/10/1982
0,4.516129032,1.136,30/10/1982
3.5625,4.516129032,1.045,31/10/1982
23.14375,5.2,1.389, 1/11/1982
12.60375,5.2,1.425, 2/11/1982
0,5.2,1.09, 3/11/1982
0,5.2,0.975, 4/11/1982
0,5.2,0.903, 5/11/1982
0,5.2,0.854, 6/11/1982
0,5.2,0.804, 7/11/1982
0,5.2,0.749, 8/11/1982
0.01875,5.2,0.714, 9/11/1982
0.01125,5.2,0.681,10/11/1982
0.0375,5.2,0.653,11/11/1982
0.2475,5.2,0.612,12/11/1982
0.135,5.2,0.605,13/11/1982
0.26875,5.2,0.574,14/11/1982
0.16125,5.2,0.538,15/11/1982
0,5.2,0.522,16/11/1982
0,5.2,0.496,17/11/1982
3.21875,5.2,0.486,18/11/1982
1.93125,5.2,0.475,19/11/1982
0,5.2,0.514,20/11/1982
0,5.2,0.488,21/11/1982
0,5.2,0.462,22/11/1982
0,5.2,0.446,23/11/1982
0,5.2,0.411,24/11/1982
0,5.2,0.389,25/11/1982
0,5.2,0.381,26/11/1982
1.575,5.2,0.371,27/11/1982
2.51375,5.2,0.369,28/11/1982
0.94125,5.2,0.378,29/11/1982
0,5.2,0.356,30/11/1982
6.3375,5.838709677,0.325, 1/12/1982
14.8275,5.838709677,0.371, 2/12/1982
8.97125,5.838709677,0.515, 3/12/1982
1.41375,5.838709677,0.556, 4/12/1982
0,5.838709677,0.415, 5/12/1982
0,5.838709677,0.354, 6/12/1982
0.00625,5.838709677,0.323, 7/12/1982
0.00375,5.838709677,0.3, 8/12/1982
0,5.838709677,0.255, 9/12/1982
0,5.838709677,0.242,10/12/1982
4.88125,5.838709677,0.253,11/12/1982
8.62875,5.838709677,0.329,12/12/1982
3.60125,5.838709677,0.327,13/12/1982
0.10875,5.838709677,0.292,14/12/1982
0,5.838709677,0.276,15/12/1982
0,5.838709677,0.254,16/12/1982
0,5.838709677,0.228,17/12/1982
0,5.838709677,0.214,18/12/1982
41.40625,5.838709677,0.232,19/12/1982
27.05,5.838709677,2.526,20/12/1982
6.72375,5.838709677,0.761,21/12/1982
3.79,5.838709677,0.592,22/12/1982
0.59875,5.838709677,0.47,23/12/1982
0.16125,5.838709677,0.371,24/12/1982
3.325,5.838709677,0.321,25/12/1982
7.02,5.838709677,0.323,26/12/1982
3.1275,5.838709677,0.369,27/12/1982
0.0675,5.838709677,0.347,28/12/1982
1.60625,5.838709677,0.301,29/12/1982
1.88875,5.838709677,0.285,30/12/1982
4.17375,5.838709677,0.272,31/12/1982
9.665,5.548387097,0.286, 1/01/1983
19.45875,5.548387097,0.351, 2/01/1983
13.68375,5.548387097,0.608, 3/01/1983
2.82375,5.548387097,0.854, 4/01/1983
0,5.548387097,0.523, 5/01/1983
0,5.548387097,0.384, 6/01/1983
0,5.548387097,0.326, 7/01/1983
0,5.548387097,0.294, 8/01/1983
6.90625,5.548387097,0.268, 9/01/1983
15.84375,5.548387097,0.266,10/01/1983
18.61375,5.548387097,0.351,11/01/1983
12.94375,5.548387097,0.463,12/01/1983
3.77375,5.548387097,0.462,13/01/1983
0.10875,5.548387097,0.414,14/01/1983
0,5.548387097,0.348,15/01/1983
0,5.548387097,0.299,16/01/1983
0,5.548387097,0.271,17/01/1983
0.7,5.548387097,0.244,18/01/1983
1.4825,5.548387097,0.224,19/01/1983
0.6375,5.548387097,0.213,20/01/1983
0,5.548387097,0.206,21/01/1983
0,5.548387097,0.196,22/01/1983
0,5.548387097,0.185,23/01/1983
0,5.548387097,0.171,24/01/1983
0,5.548387097,0.159,25/01/1983
0,5.548387097,0.151,26/01/1983
0.0125,5.548387097,0.14,27/01/1983
0.0075,5.548387097,0.127,28/01/1983
0,5.548387097,0.125,29/01/1983
0,5.548387097,0.121,30/01/1983
0,5.548387097,0.122,31/01/1983
0,5.25,0.11, 1/02/1983
0.26875,5.25,0.104, 2/02/1983
0.3925,5.25,0.103, 3/02/1983
0.13875,5.25,0.096, 4/02/1983
0,5.25,0.089, 5/02/1983
0.01875,5.25,0.088, 6/02/1983
0.01125,5.25,0.085, 7/02/1983
0,5.25,0.078, 8/02/1983
0,5.25,0.072, 9/02/1983
0,5.25,0.067,10/02/1983
0,5.25,0.067,11/02/1983
2.39375,5.25,0.063,12/02/1983
1.43625,5.25,0.068,13/02/1983
4.7375,5.25,0.073,14/02/1983
2.8425,5.25,0.096,15/02/1983
0,5.25,0.157,16/02/1983
0,5.25,0.115,17/02/1983
0.01875,5.25,0.081,18/02/1983
14.255,5.25,0.077,19/02/1983
28.69,5.25,0.141,20/02/1983
22.96125,5.25,1.029,21/02/1983
12.3625,5.25,0.975,22/02/1983
6.8525,5.25,0.569,23/02/1983
16.20375,5.25,0.476,24/02/1983
32.51,5.25,3.542,25/02/1983
15.165,5.25,2.486,26/02/1983
5.105,5.25,0.955,27/02/1983
3.14875,5.25,0.739,28/02/1983
3.59875,4.580645161,0.598, 1/03/1983
6.96,4.580645161,0.502, 2/03/1983
3.27125,4.580645161,0.476, 3/03/1983
0.5375,4.580645161,0.428, 4/03/1983
1.52875,4.580645161,0.366, 5/03/1983
1.06,4.580645161,0.334, 6/03/1983
0.16125,4.580645161,0.305, 7/03/1983
0,4.580645161,0.283, 8/03/1983
0,4.580645161,0.259, 9/03/1983
5.725,4.580645161,0.237,10/03/1983
5.935,4.580645161,0.249,11/03/1983
1.5,4.580645161,0.293,12/03/1983
0,4.580645161,0.267,13/03/1983
0,4.580645161,0.234,14/03/1983
0.1125,4.580645161,0.211,15/03/1983
4.18,4.580645161,0.199,16/03/1983
11.5425,4.580645161,0.201,17/03/1983
16.3825,4.580645161,0.26,18/03/1983
8.04375,4.580645161,0.71,19/03/1983
78.62625,4.580645161,0.701,20/03/1983
47.555,4.580645161,23.274,21/03/1983
0.5475,4.580645161,5.184,22/03/1983
0,4.580645161,2.326,23/03/1983
3.1125,4.580645161,1.518,24/03/1983
10.105,4.580645161,1.2,25/03/1983
5.8175,4.580645161,1.016,26/03/1983
2.1375,4.580645161,0.88,27/03/1983
1.2925,4.580645161,0.791,28/03/1983
0.195,4.580645161,0.815,29/03/1983
0,4.580645161,0.709,30/03/1983
0,4.580645161,0.629,31/03/1983
0,3.433333333,0.577, 1/04/1983
0.39375,3.433333333,0.527, 2/04/1983
5.6925,3.433333333,0.503, 3/04/1983
10.64875,3.433333333,0.577, 4/04/1983
6.35625,3.433333333,0.937, 5/04/1983
1.15875,3.433333333,0.658, 6/04/1983
0,3.433333333,0.509, 7/04/1983
0,3.433333333,0.456, 8/04/1983
0,3.433333333,0.431, 9/04/1983
0,3.433333333,0.406,10/04/1983
0.00625,3.433333333,0.38,11/04/1983
1.1975,3.433333333,0.374,12/04/1983
1.2725,3.433333333,0.371,13/04/1983
0.33375,3.433333333,0.362,14/04/1983
0,3.433333333,0.341,15/04/1983
0,3.433333333,0.327,16/04/1983
1.15625,3.433333333,0.322,17/04/1983
0.69375,3.433333333,0.311,18/04/1983
0,3.433333333,0.303,19/04/1983
1.775,3.433333333,0.286,20/04/1983
1.63375,3.433333333,0.282,21/04/1983
1.24125,3.433333333,0.292,22/04/1983
1.88375,3.433333333,0.299,23/04/1983
4.1125,3.433333333,0.312,24/04/1983
3.07125,3.433333333,0.318,25/04/1983
0.765,3.433333333,0.329,26/04/1983
32.055,3.433333333,0.335,27/04/1983
39.98625,3.433333333,3.084,28/04/1983
12.92625,3.433333333,4.876,29/04/1983
19.18875,3.433333333,1.903,30/04/1983
48.50125,2.290322581,9.143, 1/05/1983
58.47125,2.290322581,17.499, 2/05/1983
23.34,2.290322581,30.445, 3/05/1983
0.97875,2.290322581,9.328, 4/05/1983
0,2.290322581,5.062, 5/05/1983
0,2.290322581,3.641, 6/05/1983
0,2.290322581,2.937, 7/05/1983
0,2.290322581,2.417, 8/05/1983
0,2.290322581,2.09, 9/05/1983
0,2.290322581,1.842,10/05/1983
1.71875,2.290322581,1.665,11/05/1983
3.14375,2.290322581,1.632,12/05/1983
7.03,2.290322581,1.657,13/05/1983
4.0575,2.290322581,1.522,14/05/1983
0.4725,2.290322581,1.41,15/05/1983
0.34875,2.290322581,1.286,16/05/1983
12.11875,2.290322581,1.201,17/05/1983
13.395,2.290322581,1.653,18/05/1983
23.51,2.290322581,2.993,19/05/1983
42.14,2.290322581,11.915,20/05/1983
28.98375,2.290322581,16.442,21/05/1983
9.9475,2.290322581,9.288,22/05/1983
3.34875,2.290322581,6.314,23/05/1983
4.6275,2.290322581,4.907,24/05/1983
5.505,2.290322581,4.446,25/05/1983
7.09375,2.290322581,4.122,26/05/1983
30.29625,2.290322581,4.136,27/05/1983
16.3125,2.290322581,13.892,28/05/1983
0,2.290322581,7.604,29/05/1983
0,2.290322581,5.272,30/05/1983
0,2.290322581,4.233,31/05/1983
0,1.8,3.595, 1/06/1983
2.05,1.8,3.143, 2/06/1983
49.1425,1.8,3.037, 3/06/1983
38.14125,1.8,18.761, 4/06/1983
21.73,1.8,12.306, 5/06/1983
15.98125,1.8,12.85, 6/06/1983
4.38875,1.8,9.44, 7/06/1983
0.35625,1.8,7.127, 8/06/1983
0,1.8,5.615, 9/06/1983
0,1.8,4.711,10/06/1983
0,1.8,4.076,11/06/1983
0,1.8,3.567,12/06/1983
0.00625,1.8,3.225,13/06/1983
0.00375,1.8,2.937,14/06/1983
2.06875,1.8,2.682,15/06/1983
7.185,1.8,2.557,16/06/1983
21.4475,1.8,2.525,17/06/1983
20.52875,1.8,4.809,18/06/1983
44.155,1.8,12.428,19/06/1983
35.4025,1.8,27.927,20/06/1983
49.23125,1.8,14.946,21/06/1983
121.4425,1.8,126.431,22/06/1983
65.46,1.8,58.617,23/06/1983
6.34125,1.8,21.653,24/06/1983
1.73875,1.8,14.593,25/06/1983
0.40875,1.8,10.893,26/06/1983
0,1.8,8.492,27/06/1983
0,1.8,6.89,28/06/1983
0,1.8,5.73,29/06/1983
0,1.8,4.962,30/06/1983
0,1.774193548,4.404, 1/07/1983
0,1.774193548,3.935, 2/07/1983
0,1.774193548,3.529, 3/07/1983
3.35625,1.774193548,3.234, 4/07/1983
4.02,1.774193548,3.115, 5/07/1983
17.26625,1.774193548,4.534, 6/07/1983
9.6375,1.774193548,3.907, 7/07/1983
0,1.774193548,3.034, 8/07/1983
0,1.774193548,2.638, 9/07/1983
0,1.774193548,2.35,10/07/1983
0,1.774193548,2.184,11/07/1983
0.3375,1.774193548,2.034,12/07/1983
0.2025,1.774193548,1.894,13/07/1983
0.6625,1.774193548,1.79,14/07/1983
6.31,1.774193548,1.73,15/07/1983
4.435,1.774193548,1.723,16/07/1983
1.2825,1.774193548,1.608,17/07/1983
9.05,1.774193548,1.621,18/07/1983
5.285,1.774193548,1.68,19/07/1983
0.31875,1.774193548,1.534,20/07/1983
0.14625,1.774193548,1.429,21/07/1983
0,1.774193548,1.345,22/07/1983
1.9,1.774193548,1.318,23/07/1983
6.015,1.774193548,1.251,24/07/1983
3.50625,1.774193548,1.299,25/07/1983
7.7675,1.774193548,1.232,26/07/1983
6.0075,1.774193548,1.478,27/07/1983
19.64,1.774193548,1.498,28/07/1983
13.8175,1.774193548,2.684,29/07/1983
1.55625,1.774193548,2.34,30/07/1983
0,1.774193548,1.79,31/07/1983
0.70625,2.225806452,1.578, 1/08/1983
0.42375,2.225806452,1.465, 2/08/1983
0.05,2.225806452,1.337, 3/08/1983
8.64875,2.225806452,1.236, 4/08/1983
7.6275,2.225806452,1.379, 5/08/1983
1.47375,2.225806452,1.387, 6/08/1983
0.0125,2.225806452,1.247, 7/08/1983
0.0075,2.225806452,1.161, 8/08/1983
0,2.225806452,1.094, 9/08/1983
0,2.225806452,1.033,10/08/1983
0.89375,2.225806452,1,11/08/1983
15.68,2.225806452,1.02,12/08/1983
21.405,2.225806452,1.968,13/08/1983
13.15375,2.225806452,2.645,14/08/1983
9.11375,2.225806452,2.784,15/08/1983
14.34375,2.225806452,3.999,16/08/1983
20.45125,2.225806452,5.318,17/08/1983
8.32875,2.225806452,6.922,18/08/1983
0,2.225806452,4.237,19/08/1983
0,2.225806452,3.279,20/08/1983
0,2.225806452,2.75,21/08/1983
0,2.225806452,2.397,22/08/1983
0.2375,2.225806452,2.169,23/08/1983
0.86125,2.225806452,2.026,24/08/1983
3.86875,2.225806452,1.894,25/08/1983
10,2.225806452,2.005,26/08/1983
4.7625,2.225806452,2.209,27/08/1983
0,2.225806452,1.767,28/08/1983
0,2.225806452,1.614,29/08/1983
0,2.225806452,1.524,30/08/1983
0,2.225806452,1.435,31/08/1983
0,3.233333333,1.345, 1/09/1983
0,3.233333333,1.291, 2/09/1983
3.5875,3.233333333,1.22, 3/09/1983
2.9525,3.233333333,1.222, 4/09/1983
4.3425,3.233333333,1.185, 5/09/1983
2.3175,3.233333333,1.176, 6/09/1983
8.0125,3.233333333,1.138, 7/09/1983
10.52625,3.233333333,1.366, 8/09/1983
3.43125,3.233333333,1.482, 9/09/1983
0,3.233333333,1.127,10/09/1983
